page,views,affiliate_click,answer_seen,line_lead_click,internal_cta_click
/,73,0,0,0,0
/links,14,2,0,0,0
/bureau-blacklist-loan-2026,13,2,0,0,0
/debt-letter-kit,11,0,0,0,0
/debt-clinic-sam-2026,6,0,0,0,0
/debt-health-check,5,0,0,0,0
/personal-loan-2026,5,1,0,0,0
/debt-consolidation-2026,2,0,0,0,0
/car-pawn-not-paid-off,1,0,0,0,0
/car-title-loan-compare-2026,1,0,0,0,0
/credit-card-easy-approval-2026,1,0,0,0,0
/credit-card-krungsri-2026,1,0,0,0,0
/credit-card-salary-30000-2026,1,0,0,0,0
/debt-calculator,1,0,0,0,0
/insurance-compare-2026,1,1,0,0,0
/krungsri-credit-card-rejected-2026,1,0,0,0,0
/loan-cash-2026,1,0,0,0,0
/old-car-financing-20years,1,0,0,0,0
/quiz,1,0,0,0,0
/title-loan-2026,1,0,0,0,0
